Title,Name of author,Publisher,Genre,Rating,Rating count,Review count,Book cover,Release date,Num of pages,Edition language,Num of other editions,Reading age,Best sellers rank,Lexile measure,Num of awards,Series,There is a movie
The Demon King,Cinda Williams Chima,Hyperion Books,Fantasy,4.11,78347.0,5457.0,Hardcover,2009.0,506.0,English,32.0,,,,0,0.0,0
Cry Wolf,Patricia Briggs,Ace,Fantasy > Urban Fantasy,4.11,96622.0,4185.0,Mass Market Paperback,2008.0,294.0,English,34.0,18,22255.0,,2,1.0,0
We Were Liars,E. Lockhart,Delacorte Press,Young Adult,3.79,724159.0,73668.0,Kindle Edition,2014.0,242.0,English,122.0,14 - 17,161388.0,,8,0.0,0
Storm Front,Jim Butcher,Penguin ROC,Fantasy,3.98,324832.0,17873.0,Mass Market Paperback,2000.0,355.0,English,99.0,18,6462.0,830.0,1,1.0,0
Disney After Dark,Ridley Pearson,Disney Press,Fantasy,3.91,26600.0,2734.0,Hardcover,2005.0,326.0,English,39.0,,,,1,0.0,0
Fade Out,Rachel Caine,Signet,Paranormal > Vampires,4.19,38582.0,938.0,Paperback,2009.0,237.0,English,32.0,12 - 17,,670.0,0,1.0,0
Reached,Ally Condie,Penguin,Young Adult,3.56,156882.0,11465.0,Hardcover,2012.0,512.0,,63.0,14 - 17,390298.0,670.0,0,1.0,0
The Immortal Rules,Julie Kagawa,Harlequin Teen,Paranormal > Vampires,4.04,73376.0,6176.0,Hardcover,2012.0,485.0,English,47.0,,,,1,0.0,0
Gabriel's Inferno,Sylvain Reynard,Omnific Publishing,Romance,4.0,151738.0,8527.0,Paperback,2011.0,506.0,English,61.0,,,,1,0.0,0
The People of Sparks,Jeanne DuPrau,Yearling,Young Adult,3.68,53834.0,3624.0,Paperback,2004.0,338.0,English,41.0,9 - 12,19607.0,760.0,0,1.0,0
Dark Visions,L.J. Smith,Simon & Schuster,Young Adult,4.19,37440.0,1118.0,Paperback,2009.0,732.0,English,18.0,,,,0,0.0,0
The Forbidden Game,L.J. Smith,Simon Pulse,Young Adult,4.19,21494.0,1081.0,Paperback,2010.0,750.0,English,16.0,12 - 17,278409.0,,0,1.0,0
The Golden Lily,Richelle Mead,Razorbill,Young Adult,4.27,119562.0,6570.0,Hardcover,2012.0,418.0,English,1.0,,,,1,0.0,0
,,,,,,,,,,,,,,,0,,0
Found,Margaret Peterson Haddix,Simon Schuster Books for Young Readers,Science Fiction,3.98,38223.0,3894.0,Hardcover,2008.0,320.0,English,29.0,9 - 12,,750.0,7,1.0,0
Drowned Tomb,James Fahy,Venture Press,Fantasy,4.4,532.0,104.0,Paperback,2016.0,,English,2.0,,228486.0,,0,1.0,0
Bel Canto,Ann Patchett,Harper Perennial,Fiction,3.92,258481.0,16225.0,Paperback,2005.0,318.0,English,102.0,,15170.0,930.0,5,1.0,0
Red Rising,Pierce Brown,Del Rey,Science Fiction,4.23,294999.0,28396.0,Hardcover,2014.0,382.0,English,114.0,,27982.0,630.0,2,1.0,0
Everlost,Neal Shusterman,Simon Schuster Books for Young Readers,Fantasy,3.96,31462.0,2942.0,Hardcover,2006.0,320.0,English,41.0,12 - 17,,860.0,1,1.0,0
Sweet Evil,Wendy Higgins,HarperTeen,Young Adult,4.06,80091.0,5553.0,Paperback,2012.0,447.0,English,13.0,12 - 17,221942.0,,1,1.0,0
Garden Spells,Sarah Addison Allen,Bantam,Fiction,4.03,96357.0,10372.0,Hardcover,2007.0,290.0,English,87.0,,,,0,0.0,0
Kiss of Midnight,Lara Adrian,Dell,Romance > Paranormal Romance,3.92,65265.0,2980.0,Mass Market Paperback,2007.0,402.0,English,58.0,,203887.0,,0,1.0,0
His Majesty's Dragon,Naomi Novik,Del Rey,Fantasy,4.03,90570.0,7075.0,Mass Market Paperback,2006.0,356.0,English,80.0,14 - 18,22478.0,1030.0,3,1.0,0
The House of Hades,Rick Riordan,Disney-Hyperion Books,Fantasy,4.52,323122.0,16877.0,Hardcover,2013.0,597.0,English,97.0,9 - 12,53045.0,680.0,1,1.0,0
Kushiel's Dart,Jacqueline Carey,Tor Fantasy,Fantasy,3.98,81490.0,4310.0,Paperback,2003.0,1040.0,English,50.0,,,,3,0.0,0
Nevermore,Kelly Creagh,Atheneum Books for Young Readers,Young Adult,3.85,30919.0,2599.0,Hardcover,2010.0,543.0,English,9.0,,,,0,0.0,0
A Confederacy of Dunces,John Kennedy Toole,Grove Press,Fiction,3.88,249199.0,16253.0,Paperback,1994.0,394.0,English,189.0,12,13176.0,800.0,3,1.0,0
The Law of Attraction,N.M. Silber,Mendelssohn Levy Publishing,Romance,3.79,11684.0,901.0,ebook,2013.0,,English,7.0,,,,0,0.0,0
Unravel Me,Tahereh Mafi,HarperCollins,Young Adult,4.18,225668.0,19246.0,Hardcover,2013.0,461.0,English,73.0,14 - 17,,790.0,1,1.0,0
Skulduggery Pleasant,Derek Landy,HarperCollins,Fantasy,4.14,60002.0,4634.0,Hardcover,2007.0,392.0,English,101.0,,,,5,0.0,0
Go Ask Alice,Beatrice Sparks,Simon Pulse,Young Adult,3.75,253809.0,11434.0,Paperback,2006.0,213.0,English,121.0,14 - 17,17820.0,1010.0,0,1.0,0
The Maze of Bones,Rick Riordan,"Scholastic, Inc",Mystery,3.85,80457.0,4969.0,Hardcover,2008.0,220.0,English,56.0,9 - 12,19624.0,610.0,0,1.0,0
The Way of Shadows,Brent Weeks,Orbit,Fantasy,4.13,159180.0,5356.0,Mass Market Paperback,2008.0,645.0,English,58.0,,33961.0,,2,1.0,0
Chains of Gaia,James Fahy,,Fantasy,4.55,465.0,110.0,,,,English,2.0,,240723.0,,0,1.0,0
The Spellman Files,Lisa Lutz,Recorded Books,Mystery,3.86,34174.0,3819.0,Audio CD,2008.0,6.0,English,57.0,,,,5,1.0,0
The Wales Boy (Angelica Grace Trilogy #1),Rachel M. Greenebaum Moretti,Stratton Press,Young Adult,4.33,146.0,63.0,Paperback,2020.0,216.0,English,4.0,,,,0,0.0,0
The Book of Lost Things,John Connolly,Atria Books,Fantasy,3.91,81599.0,8263.0,Hardcover,2006.0,339.0,English,76.0,,,,2,0.0,0
Opal,Jennifer L. Armentrout,Entangled Teen,Young Adult,4.25,142176.0,9805.0,Paperback,2012.0,394.0,,62.0,15 - 17,27316.0,,1,1.0,0
The Bronze Horseman,Paullina Simons,HarperCollins e-books,Historical > Historical Fiction,4.28,74906.0,8063.0,Kindle Edition,2009.0,912.0,English,115.0,,,,0,0.0,0
Hell's Teeth,James Fahy,Venture Press,Fantasy,4.23,707.0,172.0,Kindle Edition,2016.0,236.0,English,3.0,,,,0,1.0,0
Enclave,Ann Aguirre,Feiwel & Friends,Young Adult,3.9,70971.0,5128.0,Hardcover,2011.0,259.0,English,34.0,,,,2,0.0,0
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,,Historical > Historical Fiction,4.41,7455.0,1062.0,Kindle Edition,,252.0,English,1.0,,429958.0,,0,0.0,0
